[Info] Start offline testing, model: out_prod/TR/1000000/2020-04-08_22-10-53_rscale_False_statevars_8_hidinit_glorot_uniform_hidact_leakyrelu_batch_32_mem_200000_1000_opt_sgd_lr_0.01_isplit_n_100_k_10_d_0.01/1/models/weights_1000056.h5
[Info] Offline Testing with N=200, K=10, Delta=0.01. Num iterations=50
 6542/inf: episode: 98, level: 0, particle: 97, episode steps: 67, episode reward: 0.8765, episode rob: 0.1319, new memory entries: 68
 6609/inf: episode: 99, level: 0, particle: 98, episode steps: 67, episode reward: 0.8437, episode rob: 0.1699, new memory entries: 68
 6676/inf: episode: 100, level: 0, particle: 99, episode steps: 67, episode reward: 0.8513, episode rob: 0.1610, new memory entries: 68
 6743/inf: episode: 101, level: 0, particle: 100, episode steps: 67, episode reward: 0.8902, episode rob: 0.1164, new memory entries: 68
 6810/inf: episode: 102, level: 0, particle: 101, episode steps: 67, episode reward: 0.8542, episode rob: 0.1576, new memory entries: 68
 6877/inf: episode: 103, level: 0, particle: 102, episode steps: 67, episode reward: 0.8592, episode rob: 0.1517, new memory entries: 68
 6944/inf: episode: 104, level: 0, particle: 103, episode steps: 67, episode reward: 0.8214, episode rob: 0.1967, new memory entries: 68
 7011/inf: episode: 105, level: 0, particle: 104, episode steps: 67, episode reward: 0.8691, episode rob: 0.1402, new memory entries: 68
 7078/inf: episode: 106, level: 0, particle: 105, episode steps: 67, episode reward: 0.8534, episode rob: 0.1585, new memory entries: 68
 7144/inf: episode: 107, level: 0, particle: 106, episode steps: 66, episode reward: 0.8730, episode rob: 0.1358, new memory entries: 67
 7211/inf: episode: 108, level: 0, particle: 107, episode steps: 67, episode reward: 0.8409, episode rob: 0.1733, new memory entries: 68
 7278/inf: episode: 109, level: 0, particle: 108, episode steps: 67, episode reward: 0.8588, episode rob: 0.1523, new memory entries: 68
 7345/inf: episode: 110, level: 0, particle: 109, episode steps: 67, episode reward: 0.8421, episode rob: 0.1718, new memory entries: 68
 7411/inf: episode: 111, level: 0, particle: 110, episode steps: 66, episode reward: 0.8994, episode rob: 0.1061, new memory entries: 67
 7478/inf: episode: 112, level: 0, particle: 111, episode steps: 67, episode reward: 0.8228, episode rob: 0.1951, new memory entries: 68
 7545/inf: episode: 113, level: 0, particle: 112, episode steps: 67, episode reward: 0.8724, episode rob: 0.1365, new memory entries: 68
 7612/inf: episode: 114, level: 0, particle: 113, episode steps: 67, episode reward: 0.8368, episode rob: 0.1782, new memory entries: 68
 7679/inf: episode: 115, level: 0, particle: 114, episode steps: 67, episode reward: 0.8560, episode rob: 0.1555, new memory entries: 68
