[log] episode: 160001/350000, collisions: 3, elapsed time: 15249.207470195004
[log] episode: 161001/350000, collisions: 3, elapsed time: 15344.683560169004
[log] episode: 162001/350000, collisions: 3, elapsed time: 15440.213324355005
[log] episode: 163001/350000, collisions: 3, elapsed time: 15535.697710203
[log] episode: 164001/350000, collisions: 3, elapsed time: 15631.091619010003
[log] episode: 165001/350000, collisions: 3, elapsed time: 15726.578797211005
[log] episode: 166001/350000, collisions: 3, elapsed time: 15822.155808303003
[log] episode: 167001/350000, collisions: 3, elapsed time: 15917.671959271
[log] episode: 168001/350000, collisions: 3, elapsed time: 16013.277799383002
[log] episode: 169001/350000, collisions: 3, elapsed time: 16108.776987569
[log] episode: 170001/350000, collisions: 3, elapsed time: 16204.284168475999
[log] episode: 171001/350000, collisions: 3, elapsed time: 16299.873456091998
[log] episode: 172001/350000, collisions: 3, elapsed time: 16395.361224450004
[log] episode: 173001/350000, collisions: 3, elapsed time: 16490.820684349004
[log] episode: 174001/350000, collisions: 3, elapsed time: 16586.786432248
[log] episode: 175001/350000, collisions: 3, elapsed time: 16682.423812223
[log] episode: 176001/350000, collisions: 3, elapsed time: 16777.925516907002
[log] episode: 177001/350000, collisions: 3, elapsed time: 16873.577716658
[log] episode: 178001/350000, collisions: 3, elapsed time: 16969.186298151
[log] episode: 179001/350000, collisions: 3, elapsed time: 17064.704268082998
[log] episode: 180001/350000, collisions: 3, elapsed time: 17160.244991452004
[log] episode: 181001/350000, collisions: 3, elapsed time: 17255.909477836998
[log] episode: 182001/350000, collisions: 3, elapsed time: 17351.47414282
[log] episode: 183001/350000, collisions: 3, elapsed time: 17446.976908984005
[log] episode: 184001/350000, collisions: 3, elapsed time: 17542.364112991003
[log] episode: 185001/350000, collisions: 3, elapsed time: 17637.887741855004
[log] episode: 186001/350000, collisions: 3, elapsed time: 17733.453225152
[log] episode: 187001/350000, collisions: 3, elapsed time: 17829.088934343003
[log] episode: 188001/350000, collisions: 3, elapsed time: 17924.566199119
[log] episode: 189001/350000, collisions: 3, elapsed time: 18020.075489832
[log] episode: 190001/350000, collisions: 3, elapsed time: 18115.67076062
[log] episode: 191001/350000, collisions: 3, elapsed time: 18211.260365423004
[log] episode: 192001/350000, collisions: 3, elapsed time: 18306.790758835
[log] episode: 193001/350000, collisions: 3, elapsed time: 18402.420888972003
[log] episode: 194001/350000, collisions: 3, elapsed time: 18498.047114571003
[log] episode: 195001/350000, collisions: 3, elapsed time: 18593.593136487005
[log] episode: 196001/350000, collisions: 3, elapsed time: 18689.065785463004
[log] episode: 197001/350000, collisions: 3, elapsed time: 18784.510426739005
[log] episode: 198001/350000, collisions: 3, elapsed time: 18879.993440548
[log] episode: 199001/350000, collisions: 3, elapsed time: 18975.423563186
[log] episode: 200001/350000, collisions: 3, elapsed time: 19070.987344596004
[log] episode: 201001/350000, collisions: 3, elapsed time: 19166.489403379004
[log] episode: 202001/350000, collisions: 3, elapsed time: 19262.011799716005
[log] episode: 203001/350000, collisions: 3, elapsed time: 19357.476496444004
[log] episode: 204001/350000, collisions: 3, elapsed time: 19452.981956861004
[log] episode: 205001/350000, collisions: 3, elapsed time: 19548.484437305
[log] episode: 206001/350000, collisions: 3, elapsed time: 19643.803513957
[log] episode: 207001/350000, collisions: 3, elapsed time: 19738.852336334
[log] episode: 208001/350000, collisions: 3, elapsed time: 19834.076253827
[log] episode: 209001/350000, collisions: 3, elapsed time: 19929.466005626004
[log] episode: 210001/350000, collisions: 3, elapsed time: 20024.928674096
[log] episode: 211001/350000, collisions: 3, elapsed time: 20120.423784441
[log] episode: 212001/350000, collisions: 3, elapsed time: 20215.771289881
[log] episode: 213001/350000, collisions: 3, elapsed time: 20311.115720267
[log] episode: 214001/350000, collisions: 3, elapsed time: 20406.462955901
[log] episode: 215001/350000, collisions: 3, elapsed time: 20501.825892265
[log] episode: 216001/350000, collisions: 3, elapsed time: 20597.326308678
[log] episode: 217001/350000, collisions: 3, elapsed time: 20692.828105062
[log] episode: 218001/350000, collisions: 3, elapsed time: 20788.313823025004
[log] episode: 219001/350000, collisions: 3, elapsed time: 20883.860189437
[log] episode: 220001/350000, collisions: 3, elapsed time: 20979.426560975
[log] episode: 221001/350000, collisions: 3, elapsed time: 21074.825607494
[log] episode: 222001/350000, collisions: 3, elapsed time: 21170.328485646
[log] episode: 223001/350000, collisions: 3, elapsed time: 21265.765459462003
[log] episode: 224001/350000, collisions: 3, elapsed time: 21361.208688918
[log] episode: 225001/350000, collisions: 3, elapsed time: 21456.701342744003
[log] episode: 226001/350000, collisions: 3, elapsed time: 21552.247154471
[log] episode: 227001/350000, collisions: 3, elapsed time: 21648.124749265
[log] episode: 228001/350000, collisions: 3, elapsed time: 21743.585092877
